atypical	typical
foolish	wise
unwearable	wearable
pardonable	unpardonable
artful	artless
glazed	unglazed
intellectual	nonintellectual
marked	unmarked
live	recorded
forgettable	unforgettable
roofed	roofless
stable	unstable
tactful	tactless
opposable	unopposable
diurnal	nocturnal
susceptible	unsusceptible
idiographic	nomothetic
animated	unanimated
extensive	intensive
intense	mild
improper	proper
sparkling	still
eared	earless
indoor	outdoor
consonantal	vocalic
acute	obtuse
angular	rounded
conventional	unconventional
hydrophilic	hydrophobic
appointive	elective
nonreversible	reversible
catadromous	diadromous
atonal	tonal
acatalectic	catalectic
cellular	noncellular
rentable	unrentable
decreasing	increasing
even	uneven
fair	foul
generous	stingy
restrained	unrestrained
apropos	malapropos
mononuclear	trinucleate
eusporangiate	leptosporangiate
immeasurable	measurable
talented	untalented
moonless	moonlit
immiscible	miscible
mechanical	nonmechanical
natural	supernatural
insubordinate	subordinate
impressive	unimpressive
binaural	monaural
accurate	inaccurate
cooperative	uncooperative
comparable	incomparable
out	safe
middle-class	upper-class
motorized	unmotorized
awkward	graceful
subscript	superscript
abstemious	gluttonous
costive	laxative
artesian	subartesian
shuttered	unshuttered
filled	unfilled
buttoned	unbuttoned
hurried	unhurried
general	local
reflected	unreflected
polished	unpolished
immediate	mediate
absolute	relative
altruistic	egoistic
valuable	worthless
selected	unselected
continental	intercontinental
permissive	unpermissive
automatic	manual
beseeching	imperative
parented	unparented
husbandly	wifely
happy	unhappy
intransitive	transitive
commissioned	noncommissioned
controversial	uncontroversial
insolvent	solvent
expressible	inexpressible
future	present
attractive	unattractive
conjunct	disjunct
blond	brunet
radiolucent	radiopaque
like	unlike
castrated	uncastrated
puncturable	punctureless
distinguishable	indistinguishable
integrated	segregated
obligated	unobligated
revived	unrevived
metallic	nonmetallic
acaulescent	caulescent
biennial	perennial
awned	awnless
theatrical	untheatrical
melted	unmelted
painful	painless
demonstrative	undemonstrative
federal	unitary
bound	unbound
planned	unplanned
three-piece	two-piece
sugarless	sugary
accessible	inaccessible
deflationary	inflationary
hardhearted	softhearted
priestly	unpriestly
exclusive	inclusive
impractical	practical
custom-made	ready-made
afraid	unafraid
discreet	indiscreet
horned	hornless
joint	separate
capitalistic	socialistic
inoperative	operative
monoclinic	triclinic
anticlimactic	climactic
unwrinkled	wrinkled
free	unfree
inward	outward
moving	unmoving
displeasing	pleasing
local	national
acidic	amphoteric
adscript	superscript
discriminate	indiscriminate
bowed	plucked
adscript	subscript
anastigmatic	astigmatic
reassuring	unreassuring
attractive	repulsive
illogical	logical
acaudate	caudate
accordant	discordant
integrated	nonintegrated
contrasty	flat
bound	free
loving	unloving
irreversible	reversible
adulterating	purifying
facultative	obligate
bare	covered
connotative	denotative
cyclic	noncyclic
irremediable	remediable
disenfranchised	enfranchised
original	unoriginal
erect	unerect
tangled	untangled
east	west
weightless	weighty
round	square
barreled	unbarreled
mindful	unmindful
impaired	unimpaired
guided	unguided
objective	subjective
questionable	unquestionable
monovalent	polyvalent
tidy	untidy
nonstandard	standard
annual	biennial
portable	unportable
ambitious	unambitious
diligent	negligent
assertive	unassertive
immoral	moral
defeasible	indefeasible
critical	uncritical
destroyed	preserved
in_vitro	in_vivo
fixed	unfixed
invertible	non-invertible
heterogeneous	homogeneous
punctual	unpunctual
lower-class	upper-class
cenogenetic	palingenetic
illegitimate	legitimate
impolite	polite
international	national
convergent	divergent
corporeal	incorporeal
obtrusive	unobtrusive
off-line	on-line
quotable	unquotable
conventional	nuclear
crosswise	lengthwise
incoming	outgoing
occupied	unoccupied
frivolous	serious
curved	straight
away	home
crossed	uncrossed
endowed	unendowed
debilitating	invigorating
constitutional	unconstitutional
asymmetrical	symmetrical
alphabetic	analphabetic
tanned	untanned
obligatory	optional
cubic	linear
supervised	unsupervised
active	extinct
diluted	undiluted
antemeridian	postmeridian
entozoic	epizoic
coldhearted	warmhearted
desirable	undesirable
anti-American	pro-American
leafless	leafy
tuneful	tuneless
displeased	pleased
bisexual	homosexual
limited	unlimited
qualitative	quantitative
fictional	nonfictional
irreducible	reducible
tasteless	tasty
faced	faceless
truthful	untruthful
anhydrous	hydrous
multidimensional	unidimensional
impassable	passable
faithful	unfaithful
destructible	indestructible
counterfeit	genuine
toed	toeless
ambidextrous	left-handed
oblique	perpendicular
dynamic	undynamic
lax	tense
continuous	discontinuous
antecedent	subsequent
interdepartmental	intradepartmental
bad	good
narrow	wide
armored	unarmored
unvoiced	voiced
isometric	isotonic
attachable	detachable
explicable	inexplicable
re-entrant	salient
horizontal	vertical
democratic	undemocratic
courteous	discourteous
digitigrade	plantigrade
contaminated	uncontaminated
diploid	polyploid
civil	sidereal
expansive	unexpansive
knowable	unknowable
assisted	unassisted
general	specific
comprehensible	incomprehensible
abstract	concrete
reproducible	unreproducible
early	late
accentual	syllabic
thematic	unthematic
crowded	uncrowded
dependent	independent
nidicolous	nidifugous
contestable	incontestable
ignoble	noble
diploid	haploid
cold	hot
flat	natural
crucial	noncrucial
centrifugal	centripetal
masculine	neuter
feminine	neuter
immutable	mutable
confined	unconfined
geared	ungeared
caulked	uncaulked
adaptive	maladaptive
soled	soleless
nonspatial	spatial
less	more
industrial	nonindustrial
autoecious	heteroecious
diplomatic	undiplomatic
dysphemistic	euphemistic
center	left
ectomorphic	mesomorphic
nonresident	resident
protected	unprotected
tongued	tongueless
curable	incurable
strong	weak
breathing	breathless
nonradioactive	radioactive
impatient	patient
insurmountable	surmountable
unwieldy	wieldy
imitative	nonimitative
dominant	recessive
consummated	unconsummated
settled	unsettled
buried	unburied
endothermic	exothermic
inclined	vertical
educated	uneducated
dead	live
extrospective	introspective
judgmental	nonjudgmental
linguistic	nonlinguistic
agreeable	disagreeable
articulate	inarticulate
bloodless	bloody
feminine	masculine
pretentious	unpretentious
conditional	unconditional
filial	parental
clement	inclement
efficacious	inefficacious
allogeneic	xenogeneic
subjacent	superjacent
stained	unstained
creative	uncreative
subhuman	superhuman
ametabolic	metabolic
rhetorical	unrhetorical
sound	unsound
arranged	disarranged
aboral	oral
opisthognathous	prognathous
available	unavailable
concerned	unconcerned
nonwashable	washable
stressed	unstressed
oblique	parallel
listed	unlisted
annual	perennial
one-piece	two-piece
pro-choice	pro-life
unvaried	varied
intended	unintended
qualified	unqualified
lost	won
declared	undeclared
furrowed	unfurrowed
frequent	infrequent
moved	unmoved
absent	present
hairless	hairy
adoptable	unadoptable
irreparable	reparable
savory	unsavory
melodious	unmelodious
controlled	uncontrolled
contested	uncontested
repentant	unrepentant
catarrhine	leptorrhine
insignificant	significant
equipped	unequipped
endocrine	exocrine
real	unreal
malted	unmalted
disordered	ordered
acknowledged	unacknowledged
elastic	inelastic
irreconcilable	reconcilable
astomatous	stomatous
full-term	premature
impure	pure
satisfactory	unsatisfactory
diversified	undiversified
dry	phlegmy
sworn	unsworn
stoppable	unstoppable
stimulating	unstimulating
ahistorical	historical
fastidious	unfastidious
disloyal	loyal
corrected	uncorrected
familiar	strange
big	little
manned	unmanned
fashionable	unfashionable
acatalectic	hypercatalectic
immodest	modest
reported	unreported
sensational	unsensational
confident	diffident
multiform	uniform
cut	uncut
